[PX Explorer] Starting on 0.0.0.0:7860 (SSL: True)
[PX Explorer] API:  https://localhost:7860/v1/
[PX Explorer] UI:   https://localhost:7860/gradio
INFO:     Started server process [891954]
INFO:     Waiting for application startup.
[PX API] Server starting...
INFO:     Application startup complete.
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-BijVyRsD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/universal-CPacV4QR.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Checkbox-CQ05bKV3.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Checkbox-BbySKLMz.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Index-BNpAM28s.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Index-F6AhiMuj.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-CruXVko5.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Download-CBPCAP8L.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Index-BnFffGFn.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Undo-Bv5lUv47.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/ShareButton-2AKGfIB0.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Edit-B1aQQ1uR.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Music-D6L3i-gO.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Trash-DZ8Vu7H4.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Send-BjpqlzaH.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Square-DtYCUTza.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Index-4d7qV58W.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Textbox-B313_ulL.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Example-PomL8ycq.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Index-iwBO64sc.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index--_y8gAZ2.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Index-BGbFjzQH.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/JSON-BX8m7MJt.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Example-BP1BiGBA.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/FullscreenButton-BAuJSnhH.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Maximize-CQCkRcLK.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/dsv-DB8NKgIY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Plot-DKr7NUYK.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Example-DXxR8fyi.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Index-DWWP-h59.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/key-DSM9zr99.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-DHz84ApK.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Index-CZo3jTeN.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Index-B80bIer5.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Textbox-B5AH0EoL.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Index-CwinLc1f.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/JSON-BjG2a1Vu.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Example-Cvv6PwrD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Example-DWDv4qx4.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Index-pc9XuoeO.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Example-jts6u4zx.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Index-wgdu9Zy3.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "POST /gradio/gradio_api/queue/join HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/gradio_api/queue/data?session_hash=jy9srk8kbg HTTP/1.1" 200 OK
INFO:     127.0.0.1:35112 - "POST /gradio/gradio_api/queue/join HTTP/1.1" 200 OK
INFO:     127.0.0.1:35112 - "GET /gradio/gradio_api/queue/data?session_hash=jy9srk8kbg HTTP/1.1" 200 OK
INFO:     127.0.0.1:39778 - "POST /gradio/gradio_api/queue/join HTTP/1.1" 200 OK
[ModelManager] Loading minicpm5-1b-px from openbmb/MiniCPM5-1B (subjective=True)...
INFO:     127.0.0.1:39778 - "GET /gradio/gradio_api/queue/data?session_hash=jy9srk8kbg HTTP/1.1" 200 OK
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/219 [00:00<?, ?it/s]Loading weights:   1%|          | 2/219 [00:00<00:11, 18.82it/s]Loading weights:  47%|████▋     | 102/219 [00:00<00:00, 581.33it/s]Loading weights:  92%|█████████▏| 201/219 [00:00<00:00, 765.00it/s]Loading weights: 100%|██████████| 219/219 [00:00<00:00, 675.11it/s]
[minicpm5-px] Subjective patch active for scale L24. Recur: L9-L18, Hub: L14. Gamma: 0.060. Calibrator: 10 steps.
[ModelManager] minicpm5-1b-px loaded and patched successfully.
[Router] Prefill K=20.8, Jitter=998505.9375, TD=0.765
  [Intuition] Phi: 0.996837
  [Router] Trap detected via Rigor-Weights(m=0.03+l=0.27+lb=0.47 > c=0.22+s=0.01), activating Reflector
[TELEMETRY] {"type": "thinking", "step": 0, "layer": 9, "metrics": {"stability_phi": 0.996554, "emancipation_phi": 0.996554, "aks_divergence": 0.003446, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 1, "layer": 11, "metrics": {"stability_phi": 0.996557, "emancipation_phi": 0.996557, "aks_divergence": 0.003443, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 2, "layer": 13, "metrics": {"stability_phi": 0.996439, "emancipation_phi": 0.996439, "aks_divergence": 0.003561, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 3, "layer": 15, "metrics": {"stability_phi": 0.996208, "emancipation_phi": 0.996208, "aks_divergence": 0.003792, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 4, "layer": 16, "metrics": {"stability_phi": 0.996129, "emancipation_phi": 0.996129, "aks_divergence": 0.003871, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
  [Router] Jittering to L16
TELEMETRY_JSON: /run/media/julian/ML4/ollama-work/all_space/px_telemetry_20260604_195907_814679.json
[Router] logic_b (K=20.8) -> L9-L18 (Loops: 8, Hub: 14)
  [Intuition] Phi: 0.301578
  [Router] Trap detected via Rigor-Weights(m=0.03+l=0.27+lb=0.47 > c=0.22+s=0.01), activating Reflector
[TELEMETRY] {"type": "thinking", "step": 0, "layer": 9, "metrics": {"stability_phi": 0.408062, "emancipation_phi": 0.408062, "aks_divergence": 0.591938, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 1, "layer": 9, "metrics": {"stability_phi": 0.392884, "emancipation_phi": 0.392884, "aks_divergence": 0.607116, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 2, "layer": 9, "metrics": {"stability_phi": 0.357458, "emancipation_phi": 0.357458, "aks_divergence": 0.642542, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 3, "layer": 10, "metrics": {"stability_phi": 0.289752, "emancipation_phi": 0.289752, "aks_divergence": 0.710248, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 4, "layer": 9, "metrics": {"stability_phi": 0.317289, "emancipation_phi": 0.317289, "aks_divergence": 0.682711, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 5, "layer": 10, "metrics": {"stability_phi": 0.244343, "emancipation_phi": 0.244343, "aks_divergence": 0.755657, "aks_correction": 0.1, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 6, "layer": 11, "metrics": {"stability_phi": 0.275869, "emancipation_phi": 0.275869, "aks_divergence": 0.724131, "aks_correction": 0.05, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 7, "layer": 9, "metrics": {"stability_phi": 0.303762, "emancipation_phi": 0.303762, "aks_divergence": 0.696238, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 8, "layer": 10, "metrics": {"stability_phi": 0.266785, "emancipation_phi": 0.266785, "aks_divergence": 0.733215, "aks_correction": 0.1, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 9, "layer": 11, "metrics": {"stability_phi": 0.260722, "emancipation_phi": 0.260722, "aks_divergence": 0.739278, "aks_correction": 0.05, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 10, "layer": 12, "metrics": {"stability_phi": 0.276863, "emancipation_phi": 0.276863, "aks_divergence": 0.723137, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 11, "layer": 10, "metrics": {"stability_phi": 0.241852, "emancipation_phi": 0.241852, "aks_divergence": 0.758148, "aks_correction": 0.1, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 12, "layer": 11, "metrics": {"stability_phi": 0.259315, "emancipation_phi": 0.259315, "aks_divergence": 0.740685, "aks_correction": 0.05, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
[TELEMETRY] {"type": "thinking", "step": 13, "layer": 12, "metrics": {"stability_phi": 0.275975, "emancipation_phi": 0.275975, "aks_divergence": 0.724025, "aks_correction": 0.0, "kurtosis": 20.84, "jitter": 998505.9375}, "flags": {"reflector_active": true}}
